"LID","Name","Region","Flaeche","Einwohner","BIP"
"1","Afghanistan","Asien","652000","25838797","21000000000"
"2","Albanien","Europa","28748","3490435","5600000000"
"3","Algerien","Afrika","2381740","31193917","147600000000"
"4","Amerikanische Samoa-Inseln","Ozeanien","199","65446","150000000"
"5","Andorra","Europa","468","66824","1200000000"
"6","Angola","Afrika","1246700","10145267","11600000000"
"7","Anguilla","Mittelamerika","91","11797","88000000"
"8","Antarktik","Antarktis","14000000","",""
"9","Antigua und Barbuda","Mittelamerika","442","66422","524000000"
"10","Argentinien","Südamerika","2766890","36955182","367000000000"
"11","Armenien","Osteuropa","29800","3344336","9900000000"
"12","Aruba","Mittelamerika","193","69539","1600000000"
"13","Australien","Ozeanien","7686850","19169083","416200000000"
"14","Österreich","Europa","83858","8131111","190600000000"
"15","Azerbaijan","Osteuropa","86600","7748163","14000000000"
"16","Bahamas","Mittelamerika","13940","294982","5580000000"
"17","Bahrain","Mittlerer Osten","620","634137","8600000000"
"18","Bangladesh","Asien","144000","129194224","187000000000"
"19","Barbados","Mittelamerika","430","274540","2900000000"
"20","Belarus","Osteuropa","207600","10366719","55200000000"
"21","Belgien","Europa","30510","10241506","243400000000"
"22","Belize","Mittelamerika","22960","249183","740000000"
"23","Benin","Afrika","112620","6395919","8100000000"
"24","Bermuda","Nordamerika","58","62997","2000000000"
"25","Bhutan","Asien","47000","2005222","2100000000"
"26","Bolivien","Südamerika","1098580","8152620","24200000000"
"27","Bosnien und Herzegovina","Europa","51129","3835777","6200000000"
"28","Botswana","Afrika","600370","1576470","5700000000"
"29","Brasilien","Südamerika","8511965","172860370","1130000000000"
"30","British Virgin Islands","Mittelamerika","150","19615","287000000"
"31","Brunei","Südostasien","5770","336376","5600000000"
"32","Bulgarien","Europa","110910","7796694","34900000000"
"33","Burkina Faso","Afrika","274200","11946065","12400000000"
"34","Burma","Südostasien","678500","41734853","59400000000"
"35","Burundi","Afrika","27830","6054714","4200000000"
"36","Kambodscha","Südostasien","181040","12212306","8200000000"
"37","Cameroon","Afrika","475440","15421937","31500000000"
"38","Kanada","Nordamerika","9976140","31281092","722300000000"
"39","Cape Verde","Welt","4033","401343","618000000"
"40","Cayman-Inseln","Afrika","259","34763","930000000"
"41","Zentral-Afrikanische Republik","Afrika","622984","3512751","5800000000"
"42","Tschad","Afrika","1284000","8424504","7600000000"
"43","Chile","Südamerika","756950","15153797","185100000000"
"44","China","Asien","9596960","1261832482","4800000000000"
"45","Christmas Island","Südostasien","135","2564",""
"46","Cocos )(Keeling) Islands","Südostasien","14","635",""
"47","Kolumbien","Südamerika","1138910","39685655","245100000000"
"48","Comoren","Afrika","2170","578400","410000000"
"49","Kongo demokratische Republik","Afrika","2345410","51964999","35700000000"
"50","Kongo demokratische Republik","Afrika","342000","2830961","4150000000"
"51","Cook Islands","Ozeanien","240","20407","112000000"
"52","Costa-Rica","Mittelamerika","51100","3710558","26000000000"
"53","Cote d Ivoire","Afrika","322460","15980950","25700000000"
"54","Kroatien","Europa","56538","4282216","23900000000"
"55","Kuba","Mittelamerika","110860","11141997","18600000000"
"56","Zypern","Mittlerer Osten","9250","758363","9000000"
"57","Tschechische Republik","Europa","78866","10272179","120800000000"
"58","Dänemark","Europa","43094","5336394","127700000000"
"59","Djibouti","Afrika","22000","451442","550000000"
"60","Dominica","Mittelamerika","754","71540","225000000"
"61","Dominikanische Republik","Mittelamerika","48730","8442533","43700000000"
"62","Ecuador","Südamerika","283560","12920092","54500000000"
"63","Ägypten","Afrika","1001450","68359979","200000000000"
"64","El Salvador","Mittelamerika","21040","6122515","18100000000"
"65","Äquatoriale Guine","Afrika","28051","474214","960000000"
"66","Eritrea","Afrika","121320","4135933","2900000000"
"67","Estland","Europa","45226","1431471","7900000000"
"68","Äthiopien","Afrika","1127127","64117452","33300000000"
"69","Falkland Islands (Islas Malvinas)","Südamerika","12173","2826",""
"70","Faroe Islands","Europa","1399","45296","700000000"
"71","Fidschi","Ozeanien","18270","832494","5900000000"
"72","Finnland","Europa","337030","5167486","108600000000"
"73","Frankreich","Europa","547030","59329691","1373000000000"
"74","Französisch-Guayana","Südamerika","91000","172605","1000000000"
"75","Französisch-Polynesien","Ozeanien","4167","249110","2600000000"
"76","Gabun","Afrika","267667","1208436","7900000000"
"77","Gambia","Afrika","11300","1367124","1400000000"
"78","Gazastreifen","Mittlerer Osten","360","1132063","1170000000"
"79","Georgia","Osteuropa","69700","5019538","11700000000"
"80","Deutschland","Europa","357021","82797408","1864000000000"
"81","Ghana","Afrika","238540","19533560","35500000000"
"82","Gibraltar","Europa","6","29481",""
"83","Griechenland","Europa","131940","10601527","149200000000"
"84","Greenland","Arktik-Region","2175600","56309","945000000"
"85","Grenada","Mittelamerika","340","89018","360000000"
"86","Guadeloupe","Mittelamerika","1780","426493","3700000000"
"87","Guam","Ozeanien","541","154623","3000000000"
"88","Guatemala","Mittelamerika","108890","12639939","47900000000"
"89","Guernsey","Europa","194","64080","1150000000"
"90","Guine","Afrika","245857","7466200","9200000000"
"91","Guinea-Bissau","Afrika","36120","1285715","1100000000"
"92","Guyana","Südamerika","214970","697286","1860000000"
"93","Haiti","Mittelamerika","27750","6867995","9200000000"
"94","Vatikan Stadt","Europa","0","880",""
"95","Honduras","Mittelamerika","112090","6249598","14100000000"
"96","Hong Kong","Südostasien","1092","7116302","158200000000"
"97","Ungarn","Europa","93030","10138844","79400000000"
"98","Island","Arktik-Region","103000","276365","6420000000"
"99","Indien","Asien","3287590","1014003817","1805000000000"
"100","Indonesien","Südostasien","1919440","224784210","610000000000"
"101","Iran","Mittlerer Osten","1648000","65619636","347600000000"
"102","Irak","Mittlerer Osten","437072","22675617","59900000000"
"103","Irland","Europa","70280","3797257","73700000000"
"104","Israel","Mittlerer Osten","20770","5842454","105400000000"
"105","Italien","Europa","301230","57634327","1212000000000"
"106","Jamaica","Mittelamerika","10990","2652689","8800000000"
"107","Japan","Asien","377835","126549976","2950000000000"
"108","Jersey","Europa","116","88915","2200000000"
"109","Jordanien","Mittlerer Osten","89213","4998564","16000000000"
"110","Kasachstan","Osteuropa","2717300","16733227","54500000000"
"111","Kenia","Afrika","582650","30339770","45100000000"
"112","Kiribati","Ozeanien","717","91985","74000000"
"113","Korea, Nord","Asien","120540","21687550","22600000000"
"114","Korea, Süd","Asien","98480","47470969","625700000000"
"115","Kuwait","Mittlerer Osten","17820","1973572","44800000000"
"116","Kyrgyzstan","Osteuropa","198500","4685230","10300000000"
"117","Laos","Südostasien","236800","5497459","7000000000"
"118","Latvia","Europa","64589","2404926","9800000000"
"119","Libanon","Mittlerer Osten","10400","3578036","16200000000"
"120","Lesotho","Afrika","30355","2143141","4700000000"
"121","Liberia","Afrika","111370","3164156","2850000000"
"122","Libya","Afrika","1759540","5115450","39300000000"
"123","Liechtenstein","Europa","160","32207","730000000"
"124","Litauen","Europa","65200","3620756","17300000000"
"125","Luxemburg","Europa","2586","437389","14700000000"
"126","Macau","Südostasien","21","445594","7650000000"
"127","Macedonia The Former Yugoslav Republic of","Europa","25333","2041467","7600000000"
"128","Madagascar","Afrika","587040","15506472","11500000000"
"129","Malawi","Afrika","118480","10385849","9400000000"
"130","Malaysia","Südostasien","329750","21793293","229100000000"
"131","Maldives","Asien","300","301475","540000000"
"132","Mali","Afrika","1240000","10685948","8500000000"
